TCGA.C8.A12P.01	TCGA.A8.A08X.01	TCGA.AN.A0FV.01	TCGA.A8.A076.01	TCGA.A8.A09G.01	TCGA.A2.A04W.01	TCGA.BH.A0EE.01	TCGA.AO.A0JE.01	TCGA.C8.A12Q.01	TCGA.A8.A07I.01	TCGA.A8.A094.01	TCGA.E2.A159.01	TCGA.AN.A04D.01	TCGA.B6.A0IQ.01	TCGA.AN.A0FL.01	TCGA.A2.A04P.01	TCGA.AR.A0TS.01	TCGA.AN.A0XU.01	TCGA.AR.A0TP.01	TCGA.BH.A0E0.01	TCGA.A2.A0SX.01	TCGA.BH.A18V.01	TCGA.AO.A12F.01	TCGA.AR.A1AJ.01	TCGA.A2.A0YM.01	TCGA.A2.A0ST.01	TCGA.A2.A0CM.01	TCGA.C8.A134.01	TCGA.AN.A0XT.01	TCGA.BH.A0BJ.01	TCGA.A1.A0SH.01	TCGA.BH.A0H6.01	TCGA.AR.A1AK.01	TCGA.BH.A18H.01	TCGA.BH.A0BV.01	TCGA.C8.A132.01	TCGA.A2.A0YI.01	TCGA.A2.A0CQ.01	TCGA.BH.A0B4.01	TCGA.BH.A0DP.01	TCGA.BH.A0E7.01	TCGA.AO.A12A.01	TCGA.BH.A0BS.01	TCGA.BH.A0BQ.01	TCGA.A2.A0EV.01	TCGA.A8.A0A4.01	TCGA.E2.A1B6.01	TCGA.BH.A0GY.01	TCGA.BH.A0BA.01	TCGA.B6.A0RM.01	TCGA.A2.A0SU.01	TCGA.E2.A15J.01	TCGA.E2.A1BC.01	TCGA.A8.A07F.01	TCGA.E2.A15O.01	TCGA.E2.A14Z.01	TCGA.BH.A0BM.01	TCGA.BH.A0HK.01	TCGA.BH.A0H7.01	TCGA.A2.A0YL.01	TCGA.BH.A0BP.01	TCGA.AR.A1AS.01	TCGA.E2.A14Q.01	TCGA.E2.A10E.01	TCGA.AN.A0XO.01	TCGA.E2.A15P.01	TCGA.B6.A0X0.01	TCGA.A2.A04N.01	TCGA.A8.A091.01	TCGA.A8.A099.01	TCGA.B6.A0RQ.01	TCGA.A8.A09I.01	TCGA.A8.A09M.01	TCGA.A8.A082.01	TCGA.E2.A14W.01	TCGA.BH.A18L.01	TCGA.A8.A06N.01	TCGA.AR.A0TT.01	TCGA.A8.A07W.01	TCGA.AO.A03O.01	TCGA.E2.A14O.01	TCGA.BH.A0BF.01	TCGA.AN.A041.01	TCGA.E2.A10A.01	TCGA.AR.A0TY.01	TCGA.E2.A107.01	TCGA.A2.A0YH.01	TCGA.E2.A109.01	TCGA.BH.A18F.01	TCGA.AN.A0FF.01	TCGA.A8.A09R.01	TCGA.C8.A12M.01	TCGA.AN.A0AM.01	TCGA.AN.A0AS.01
ABHD12B	-2.623	-2.591	-1.21725	1.7705	-2.8715	-0.453	-3.33375	-2.52325	-2.9765	-3.5165	-2.66075	-3.17525	-3.15325	-2.175	-2.38175	-3.45375	-2.8035	-2.24825	-2.36025	2.466	-1.73025	-2.7905	-2.9575	-2.56725	-2.23775	-1.83425	-2.97425	-3.31075	2.925	2.968	-1.53175	-1.64475	-2.1145	-3.15325	-0.77175	-1.15975	-0.93675	1.55	-1.83325	-2.016	-0.2175	-2.10025	-1.86025	1.26275	-2.95225	1.49175	-2.28225	0.107	3.4355	3.22425	2.83875	-1.88133333333333	-1.8365	-2.18275	-1.3225	-1.927	-1.10525	-2.16175	-2.69	-1.0685	0.23375	-3.74375	2.24675	-2.13725	-2.1435	-2.333	-1.717	-1.01225	-0.96725	-2.21375	-1.38575	-2.7425	-2.87	-2.49725	-4.442	1.98675	2.7445	-1.66825	-2.6615	-2.434	-2.145	-2.20925	2.7385	3.4525	-3.03125	-1.66975	0.49275	1.899	2.4515	-2.38875	1.268	-2.379	-1.7305	-2.295
ABHD7	-0.93425	-1.2355	-1.4645	-0.84475	-1.427	-1.16175	-3.1845	-0.72675	-0.1955	-0.22425	0.90375	2.02725	4.6925	-0.18225	2.683	0.276	0.395	0.6445	3.74	1.556	1.442	-1.12025	0.6115	-1.06975	-0.6445	-0.346	0.23225	2.27575	3.703	0.67975	2.9065	1.895	1.22525	-2.14225	-0.78525	-0.17625	-1.36025	-1.431	2.8645	-0.12875	1.94275	-0.1265	-1.33775	-0.1045	-0.98725	0.439	-1.023	3.2375	0.6965	3.1985	-0.19025	-0.1715	-1.5835	-0.2095	2.731	0.74725	-1.017	4.29425	1.745	2.0595	-0.5405	-2.44475	-0.85675	-1.32675	-0.30425	-0.56575	-1.12825	0.918	1.50025	1.2655	0.50225	-0.13475	1.097	1.17425	2.20475	1.8855	0.8305	-0.8365	-0.09525	-0.97275	1.4375	0.971	-0.483	2.187	0.98525	3.72	1.42425	0.90075	-0.96925	-0.93775	0.088	-0.5575	0.04225	-1.348
ABI3BP	-0.076	0.94925	-0.573	-0.36725	1.80825	0.54525	-1.37875	0.6095	1.95025	0.76	-0.32375	1.694	-0.61025	-0.5015	-0.8165	1.21825	2.96075	-0.70575	-1.432	-0.11125	2.7305	0.59	-0.71	2.477	-0.49	2.39575	1.1705	1.61125	0.74375	1.207	1.0555	-0.14	2.14925	1.04275	0.3725	2.92975	1.47775	-0.24625	0.895	1.3335	-1.08175	1.269	0.83175	2.21175	1.48325	2.16225	4.0225	1.05925	0.79975	0.7405	0.864	-0.2695	1.193	0.25075	2.32875	2.981	1.01425	2.0545	0.59525	2.9255	2.2975	-1.636	0.86075	0.51175	0.1475	1.64875	-0.51175	1.8055	0.6705	0.1305	2	-0.39775	-0.4915	-0.99525	-1.43675	0.09425	-2.35175	2.34975	-0.90425	0.4375	0.70275	1.72275	0.645	-0.749	0.887	0.5785	0.8895	0.14075	3.0325	2.438	-0.6765	-0.20125	-1.20825	0.55925
ABLIM3	-0.7309	-2.1662	0.3472	-1.5832	0.0893	0.0029	-2.5108	0.4591	1.1317	0.3303	-0.0961	-1.9551	-2.6171	-2.5929	-2.5226	-1.8094	-0.7552	-1.69	-1.0603	-0.4402	-1.4049	-1.9428	-1.5329	-1.1581	-1.3456	-1.021	-2.2239	-0.7314	-0.0102	-0.0462	0.2085	-0.5842	0.2234	-0.1763	-0.5692	-0.869	0.0473	1.2598	-0.2762	-0.2611	0.4512	0.1082	0.1377	0.7495	0.4504	0.023	-0.131	-1.1913	1.4952	0.2701	1.4375	1.4103	1.6792	-1.6561	-1.0418	-0.4498	-0.2181	-0.1377	-1.8732	-0.6724	-0.5648	0.8653	-0.0231	1.3283	-0.0473	0.6647	-2.4103	0.148	0.8713	0.9336	0.04	-1.778	0.3414	0.91	1.0533	-2.0128	0.2418	-1.0972	-1.5175	-0.8568	0.5104	-1.0415	-0.3636	0.9691	0.72	0.6432	-0.7899	-1.2552	0.6465	0.3491	1.1576	1.877	1.1617	-1.4706
ACADL	-1.32333333333333	2.16116666666667	-0.668166666666667	-0.257166666666667	-0.4294	-0.414833333333333	4.39983333333333	-0.661666666666667	-0.392666666666667	-0.476333333333333	-0.624166666666667	4.266	2.57616666666667	-0.2705	-0.4378	2.56083333333333	1.327	1.746	0.864	0.3735	2.48733333333333	2.68983333333333	-0.572333333333333	0.753166666666667	-0.457333333333333	-0.6416	-0.925	-0.452333333333333	0.21	0.390166666666667	-0.3945	-0.172	0.3075	-0.7165	-0.405833333333333	-0.187	0.281833333333333	-0.982333333333333	-0.4695	0.881166666666667	-1.02983333333333	1.99766666666667	-0.685666666666667	1.45033333333333	0.471833333333333	0.7296	1.52533333333333	-0.5298	0.315666666666667	0.879333333333333	-0.345833333333333	1.162	2.88316666666667	-0.798666666666667	-0.278	-0.424833333333333	1.2125	1.6745	-1.17216666666667	-0.150833333333333	2.93183333333333	-1.42216666666667	-0.0871666666666667	0.641	0.1075	0.6635	-0.882166666666667	0.116333333333333	-0.114166666666667	-0.993166666666667	2.02733333333333	-1.02833333333333	-0.830333333333333	-1.34016666666667	2.12	0.206166666666667	-1.84516666666667	0.2805	-0.0608333333333333	-0.630833333333333	-1.01416666666667	-1.0275	-0.622	-1.1985	-1.79016666666667	-0.159333333333333	-0.0355	-0.5	2.57	0.799	-0.355333333333333	-0.373833333333333	-0.231833333333333	-0.369166666666667
ACAN	2.767	0.812	2.00525	1.2065	1.45025	1.0865	1.48625	1.71725	2.05025	1.344	0.85	2.939	2.26575	1.02525	2.7975	2.78575	3.38475	2.18325	3.1095	4.059	0.62225	0.7515	2.07175	0.73425	2.06925	-0.65625	2.51475	2.7615	2.37775	1.61125	1.21875	1.0115	0.88275	0.245333333333333	0.8495	1.41775	0.45425	1.45975	2.5515	0.94725	2.71425	1.29975	1.075	1.001	1.52175	0.407	0.87	0.99125	2.2515	-0.00425000000000002	2.071	1.5785	1.566	0.957	1.08925	0.97025	2.06925	0.227	1.91375	0.70775	0.95025	0.652	0.43875	0.713	1.78175	1.555	0.5185	1.05975	1.31875	0.508	-0.331	1.19175	0.30875	0.622	1.5485	1.172	2.103	1.57	1.5575	1.7485	2.359	1.7635	2.11925	1.69925	2.56825	1.81375	1.147	1.27525	0.7575	1.10475	2.0715	1.908	0.00325	1.79575
ACE2	1.82425	1.8915	-1.55975	-2.03075	1.47775	1.57375	5.05675	1.9015	2.713	-0.798	3.3435	1.8665	-0.1975	1.85375	0.36825	5.346	1.79375	2.30625	-0.048	2.05825	-0.6865	0.4115	0.5735	3.2995	1.9685	2.6625	-0.7115	1.78925	-0.81	-1.0485	-0.619	-2.528	0.1805	-0.6375	-0.997	0.1185	-0.6935	-1.46175	-1.04675	-0.25925	-1.4805	-0.993	-1.41725	0.67225	-1.50025	0.07425	0.60225	-0.29475	0.61575	-0.93025	-0.554	-1.48925	0.116	-0.16875	-0.781	1.5125	-0.1635	-0.62025	-1.1175	0.51575	-0.58525	-0.86775	-0.55625	-0.5465	-0.12325	-1.239	-1.218	-0.786	-1.34625	-1.816	0.6275	-1.44675	-1.105	-1.84525	-2.165	-2.30325	-0.9775	-1.0185	-1.91125	0.38275	-1.596	-1.64775	-1.943	-0.90525	-2.095	-1.2095	-1.5895	-1.411	-0.3385	-2.42775	-1.709	-0.5125	0.75775	-0.04425
ACMSD	-0.98975	-0.33775	-0.3945	-1.3465	-1.71725	-1.076	-0.7825	2.3975	5.32975	3.577	-0.553	-1.2125	-0.7435	-0.9205	-1.0485	-2.26225	-1.2415	-0.67725	-1.035	-1.24566666666667	-0.733	-1.3385	-1.3945	-1.03525	-1.07425	-0.711333333333333	-1.374	-1.23925	0.10325	0.39175	0.046	-1.3175	4.949	-1.41325	-0.39225	0.87025	4.0255	4.096	-0.59525	2.41225	-1.376	2.49625	-0.3395	2.7415	-0.187333333333333	0.53225	-0.84975	-0.886	-1.985	-0.6125	2.30775	1.5805	1.47225	0.165	-0.897	1.0075	-0.22	-0.2345	-1.18425	0.9115	1.74175	4.5975	-0.2085	-0.34725	2.04025	3.58325	-0.72025	0.7865	-0.3175	1.6085	1.25225	-1.73975	-0.39625	-0.82925	3.0865	-0.3	-1.57575	-0.8255	-1.506	0.316	2.61525	0.794	0.152	0.5245	-1.813	0.68475	0.1095	-0.52625	-0.84875	0.05325	-0.59175	-0.0443333333333333	5.5245	-0.998
ACN9	0.3685	-0.56425	-0.897	-3.10575	-0.584	-1.04	-0.56725	-3.083	-0.00374999999999999	-1.896	-3.3575	0.18775	-0.4715	-0.22075	0.26275	-0.3485	-0.588	-0.22525	-0.7265	-0.957	-1.889	-1.268	-1.54125	-1.3305	-1.41125	-2.23	-3.15275	-0.1755	-2.2405	-1.85875	-1.30225	-1.0515	-1.53075	-2.11375	-1.777	-0.616	-1.106	-2.1775	-2.815	-2.05575	-1.581	-1.6875	-0.562	-1.41525	-1.631	-1.236	-1.789	-3.6215	-2.1675	-0.82775	-0.62575	-0.942	-1.665	-0.01	-2.55525	-0.74975	-1.45675	-1.90975	-2.885	-1.14825	-0.56175	-4.13725	-0.835	-3.612	-2.469	-0.2215	-0.6985	-0.036	-2.5885	-4.2425	-0.727	-2.60075	-2.54325	-2.04175	-1.126	-2.78825	-1.71775	-2.468	-3.61175	-1.8575	-4.3855	-2.54175	-2.1915	-3.252	-0.4765	-2.7585	-0.97275	-1.62825	-0.95225	-1.77725	-2.05	-0.6455	-1.96875	-1.3665
ACOX2	4.199	-0.722833333333333	2.18916666666667	0.824333333333333	0.243	0.696333333333333	3.19383333333333	1.3865	-0.0891666666666667	0.12	2.24216666666667	0.624166666666667	-3.15083333333333	-2.807	-2.59483333333333	-1.55266666666667	-0.209833333333333	-2.25133333333333	-3.00483333333333	-2.31916666666667	-1.817	-2.3475	-2.09066666666667	-1.20783333333333	-1.30683333333333	-1.43416666666667	-2.8535	-0.853	-0.0425	-0.661333333333333	-1.1565	-0.579	4.83983333333333	-0.725166666666667	1.92433333333333	1.56733333333333	0.954	3.60283333333333	-0.536333333333333	1.51083333333333	1.10733333333333	1.979	1.72883333333333	3.78666666666667	1.16333333333333	0.194	2.27833333333333	-0.493666666666667	5.40833333333333	4.6745	3.48766666666667	2.97516666666667	2.54233333333333	-1.82333333333333	0.890666666666667	3.19816666666667	1.1045	-0.7855	2.7195	0.294833333333333	3.76133333333333	2.52166666666667	1.48916666666667	4.02433333333333	0.689333333333333	0.4615	-0.718	2.17	3.32266666666667	0.666333333333333	0.7055	4.34466666666667	1.69383333333333	3.43816666666667	-1.27266666666667	2.6875	1.62883333333333	0.235	2.33833333333333	-1.09483333333333	1.7975	0.6365	-0.0786666666666667	1.1425	1.42966666666667	0.849166666666667	2.4175	2.444	1.89983333333333	3.06483333333333	4.74233333333333	4.85366666666667	4.09466666666667	2.82
