TCGA.C8.A12P.01	TCGA.A8.A08X.01	TCGA.AN.A0FV.01	TCGA.A8.A076.01	TCGA.A8.A09G.01	TCGA.A2.A04W.01	TCGA.BH.A0EE.01	TCGA.AO.A0JE.01	TCGA.C8.A12Q.01	TCGA.A8.A07I.01	TCGA.A8.A094.01	TCGA.E2.A159.01	TCGA.AN.A04D.01	TCGA.B6.A0IQ.01	TCGA.AN.A0FL.01	TCGA.A2.A04P.01	TCGA.AR.A0TS.01	TCGA.AN.A0XU.01	TCGA.AR.A0TP.01	TCGA.BH.A0E0.01	TCGA.A2.A0SX.01	TCGA.BH.A18V.01	TCGA.AO.A12F.01	TCGA.AR.A1AJ.01	TCGA.A2.A0YM.01	TCGA.A2.A0ST.01	TCGA.A2.A0CM.01	TCGA.C8.A134.01	TCGA.AN.A0XT.01	TCGA.BH.A0BJ.01	TCGA.A1.A0SH.01	TCGA.BH.A0H6.01	TCGA.AR.A1AK.01	TCGA.BH.A18H.01	TCGA.BH.A0BV.01	TCGA.C8.A132.01	TCGA.A2.A0YI.01	TCGA.A2.A0CQ.01	TCGA.BH.A0B4.01	TCGA.BH.A0DP.01	TCGA.BH.A0E7.01	TCGA.AO.A12A.01	TCGA.BH.A0BS.01	TCGA.BH.A0BQ.01	TCGA.A2.A0EV.01	TCGA.A8.A0A4.01	TCGA.E2.A1B6.01	TCGA.BH.A0GY.01	TCGA.BH.A0BA.01	TCGA.B6.A0RM.01	TCGA.A2.A0SU.01	TCGA.E2.A15J.01	TCGA.E2.A1BC.01	TCGA.A8.A07F.01	TCGA.E2.A15O.01	TCGA.E2.A14Z.01	TCGA.BH.A0BM.01	TCGA.BH.A0HK.01	TCGA.BH.A0H7.01	TCGA.A2.A0YL.01	TCGA.BH.A0BP.01	TCGA.AR.A1AS.01	TCGA.E2.A14Q.01	TCGA.E2.A10E.01	TCGA.AN.A0XO.01	TCGA.E2.A15P.01	TCGA.B6.A0X0.01	TCGA.A2.A04N.01	TCGA.A8.A091.01	TCGA.A8.A099.01	TCGA.B6.A0RQ.01	TCGA.A8.A09I.01	TCGA.A8.A09M.01	TCGA.A8.A082.01	TCGA.E2.A14W.01	TCGA.BH.A18L.01	TCGA.A8.A06N.01	TCGA.AR.A0TT.01	TCGA.A8.A07W.01	TCGA.AO.A03O.01	TCGA.E2.A14O.01	TCGA.BH.A0BF.01	TCGA.AN.A041.01	TCGA.E2.A10A.01	TCGA.AR.A0TY.01	TCGA.E2.A107.01	TCGA.A2.A0YH.01	TCGA.E2.A109.01	TCGA.BH.A18F.01	TCGA.AN.A0FF.01	TCGA.A8.A09R.01	TCGA.C8.A12M.01	TCGA.AN.A0AM.01	TCGA.AN.A0AS.01
CDC42EP3	0.8735	-0.16025	-1.03675	-0.999875	-0.684875	1.993625	0.787625	0.202625	-0.64675	-0.7345	-0.652875	0.512125	-0.287125	-0.073	-1.108	0.5915	0.601375	-0.33525	0.836625	0.667625	0.6885	-0.444625	0.548875	0.17425	-0.127625	1.591375	0.657375	3.134875	0.033125	-0.67525	-0.037375	-0.693	0.416	0.118625	-0.713	-0.221375	-0.30275	0.62825	-0.2995	0.22175	-1.197625	-0.213	-0.00212499999999999	0.1795	-0.06275	-0.017	1.527875	-0.474875	-0.274	-0.5545	-0.061	-1.822125	-0.228375	-1.1835	0.1425	-0.1045	2.007375	-0.67975	-0.2555	0.37025	0.03075	-1.72225	0.213375	-0.603625	0.199125	-0.650875	-1.786	-0.53625	0.130125	0.392875	0.737125	-1.470625	-0.791625	-0.150375	-0.70475	-1.113125	0.507875	-0.098125	-0.952625	-0.6135	-1.097375	0.55225	-1.330375	-0.28825	-1.379125	-0.901625	0.4035	-0.341	-0.2945	0.03775	-0.807125	-0.9565	-0.6075	-0.082375
CDC45L	-1.41283333333333	-2.20233333333333	-2.91583333333333	-2.97616666666667	-1.77366666666667	-2.1325	-1.85716666666667	-2.4075	-2.35533333333333	-2.94966666666667	-0.971666666666667	-2.08116666666667	-1.00116666666667	-1.626	-2.74333333333333	-2.34883333333333	-2.34766666666667	-1.09466666666667	-1.97183333333333	-3.0735	-2.72333333333333	-1.41883333333333	-1.39816666666667	-1.97416666666667	-1.74533333333333	-2.69883333333333	-2.1855	-2.155	-4.467	-4.16833333333333	-4.05733333333333	-4.08416666666667	-3.06983333333333	-4.03683333333333	-3.50266666666667	-3.567	-4.77183333333333	-3.82566666666667	-2.39366666666667	-3.85716666666667	-4.17166666666667	-3.542	-4.07166666666667	-3.79466666666667	-3.02716666666667	-3.74033333333333	-3.82766666666667	-3.70483333333333	-4.38616666666667	-3.15133333333333	-3.6545	-3.63033333333333	-5.09383333333333	-3.32283333333333	-2.57683333333333	-3.2575	-4.87383333333333	-3.90033333333333	-3.19616666666667	-3.33366666666667	-3.52633333333333	-2.60633333333333	-4.25566666666667	-3.0345	-3.93116666666667	-3.59516666666667	-3.35466666666667	-3.70333333333333	-3.4245	-3.95116666666667	-5.05383333333333	-1.47166666666667	-2.10766666666667	-2.17633333333333	-2.75666666666667	-2.77333333333333	-2.79083333333333	-2.97816666666667	-2.347	-1.72066666666667	-2.58033333333333	-3.8095	-2.3895	-3.35683333333333	-2.41466666666667	-2.06166666666667	-1.2755	-2.33316666666667	-2.51316666666667	-3.6755	-3.264	-3.76233333333333	-1.60583333333333	-3.51383333333333
CDC6	-1.29	-2.0335	-0.0275	0.767833333333333	-1.75316666666667	0.937	1.84	-2.15016666666667	-2.9215	-2.41966666666667	-2.08833333333333	-1.71533333333333	-0.940333333333333	-1.24233333333333	-2.5775	-2.282	-1.70066666666667	-0.772166666666667	-1.11183333333333	-1.8685	-1.92133333333333	-0.984666666666667	-1.09166666666667	-1.74466666666667	-1.13816666666667	-1.58716666666667	-1.51116666666667	-1.9245	-3.46833333333333	-3.15383333333333	-3.156	-3.3385	-2.007	-3.694	-2.7215	-2.90333333333333	-3.97033333333333	-2.5705	-1.381	-3.31333333333333	-3.4665	-2.983	-2.90566666666667	-3.169	-1.99683333333333	-1.442	-3.05233333333333	-2.41883333333333	-3.96066666666667	-1.96066666666667	-2.1155	-2.70233333333333	-4.28116666666667	-2.45933333333333	-1.5745	-2.7005	-3.969	-3.0575	-2.121	-3.20066666666667	-4.10066666666667	-2.1985	-3.3375	-1.97816666666667	-2.34916666666667	-2.629	-2.39616666666667	-2.67666666666667	-2.55066666666667	-2.4265	-4.53716666666667	1.01516666666667	-0.980833333333333	-1.41666666666667	-1.32216666666667	-0.962	-1.8785	-2.6335	-0.807166666666667	-1.5525	-1.249	-2.922	-1.592	-2.23483333333333	-1.44266666666667	-1.09683333333333	-1.05266666666667	-1.01183333333333	-2.23383333333333	-2.80766666666667	-1.66233333333333	-3.98533333333333	-1.4165	-1.87133333333333
CDC7	-1.78083333333333	-1.27483333333333	-1.61566666666667	-1.58916666666667	-1.28733333333333	-1.43666666666667	0.658833333333333	-1.46533333333333	-1.909	-2.17516666666667	-1.94166666666667	0.1085	0.822	0.513166666666667	-2.3355	-0.1145	-0.0246666666666667	-0.269833333333333	-0.978	-1.21616666666667	-1.09566666666667	-1.7375	-0.700666666666667	-1.7975	-0.0868333333333333	-1.26483333333333	-1.0625	0.216	-3.4515	-3.136	-2.31883333333333	-3.91216666666667	-1.04416666666667	-1.8745	-2.47933333333333	-1.80066666666667	-3.127	-0.328833333333333	-1.20983333333333	-2.343	-2.37983333333333	-2.583	-2.61116666666667	-2.36116666666667	-1.88966666666667	-2.6255	-2.56716666666667	-2.01933333333333	-2.474	-2.47433333333333	-2.137	-1.7575	-3.21016666666667	-1.63816666666667	-0.607	-2.23883333333333	-2.11633333333333	-2.42833333333333	-1.5095	-1.22766666666667	-2.83483333333333	-1.05233333333333	-2.47716666666667	-3.02433333333333	-2.82466666666667	-3.34466666666667	-2.28966666666667	-2.00183333333333	-3.264	-2.494	-3.46616666666667	-1.57183333333333	-0.704833333333333	-1.4185	-0.712833333333333	-1.17933333333333	-1.47516666666667	-1.99783333333333	-1.492	-0.957833333333333	-1.73433333333333	-2.122	-1.66416666666667	-1.25283333333333	-1.555	-1.57633333333333	-2.8695	-1.03266666666667	-2.14283333333333	-1.76766666666667	-2.64783333333333	-1.19516666666667	-1.7785	-2.93066666666667
CDCA2	-2.0665	-1.07483333333333	-1.62083333333333	-1.60633333333333	-1.481	-1.545	-1.3545	-2.43916666666667	-2.04066666666667	-1.69766666666667	-0.480166666666667	-0.384	-0.494666666666667	-0.662666666666667	-1.819	-1.72716666666667	-1.31883333333333	-0.568333333333333	-1.07333333333333	-0.481833333333333	-0.684333333333333	0.799333333333333	-0.450333333333333	-1.1875	-0.289166666666667	-0.449166666666667	1.67183333333333	0.0891666666666667	-3.15316666666667	-2.1525	-2.657	-3.19416666666667	-2.99683333333333	-2.71383333333333	-2.14116666666667	-2.3155	-2.77283333333333	-1.89233333333333	-1.88783333333333	-2.37883333333333	-2.92833333333333	-2.5605	-3.11566666666667	-2.26166666666667	-2.02483333333333	-1.78766666666667	-2.66533333333333	-1.679	-2.48883333333333	-2.4155	-1.79233333333333	-3.1185	-3.69316666666667	-1.8065	-0.958333333333333	-1.87966666666667	-3.56933333333333	-3.259	-1.87983333333333	-1.9285	-2.57583333333333	-2.57216666666667	-1.478	-1.87033333333333	-2.09516666666667	-1.654	-2.82383333333333	-2.20816666666667	-2.79916666666667	-2.99183333333333	-3.15133333333333	-1.09483333333333	-2.04516666666667	-1.88333333333333	-2.36266666666667	-2.05333333333333	-3.60683333333333	-2.067	-1.949	-2.151	-1.63133333333333	-1.73916666666667	-2.30166666666667	-2.359	-0.6035	-0.609833333333333	-2.16266666666667	-2.2245	-1.69766666666667	-1.31666666666667	-2.3655	-2.96033333333333	-1.66966666666667	-2.53666666666667
CDCA3	-0.99025	-1.07475	-1.458125	-0.027	-1.04275	-1.869125	-1.813125	-1.687625	-1.34475	-0.725	-0.444875	-0.948625	0.059625	0.21375	-1.4525	0.233125	0.2645	-0.086875	-0.427125	0.27925	-1.09975	0.078125	0.34925	-0.63175	0.553875	-0.919125	0.057375	-0.64225	-2.081125	-2.182875	-2.0075	-2.044625	-1.146	-1.727625	-1.41475	-1.466	-2.874125	-1.53525	-0.86325	-2.49175	-1.454	-1.69475	-1.452375	-2.1015	-1.896375	-1.045125	-1.88025	-1.3935	-2.34675	-1.58325	-1.66525	-1.571	-3.055875	-1.515375	-0.7815	-1.359125	-2.599125	-2.210625	-1.48075	-1.988875	-2.5455	-1.188125	-2.03325	-1.678	-1.3235	-2.08325	-1.6355	-1.739	-1.57525	-1.953375	-2.862	-0.823625	-0.79125	-0.7415	-0.93825	-0.686	-1.629125	-1.48325	-0.403875	-1.3045	-0.2695	-1.152	-1.444625	-1.715625	-0.19825	-0.274	-0.76575	-0.113875	-0.8425	-1.607875	-1.3875	-1.426875	-0.693	-1.19925
CDCA5	-1.06766666666667	-1.18783333333333	-1.63266666666667	-1.4295	-1.04666666666667	-1.29066666666667	-1.27283333333333	-1.99033333333333	-2.63033333333333	-1.46966666666667	-0.815666666666667	-1.30266666666667	-0.254	-0.55	-1.439	-1.62116666666667	-0.812166666666667	-1.479	-0.8005	-1.38966666666667	-1.76416666666667	0.179	-0.693	-1.103	-0.705166666666667	-1.4	-0.874	0.0625	-2.51016666666667	-2.50933333333333	-2.81616666666667	-2.91166666666667	-2.93666666666667	-2.223	-2.9875	-2.0395	-3.60816666666667	-2.67866666666667	-1.37133333333333	-2.55533333333333	-2.7705	-2.55116666666667	-2.40383333333333	-2.89283333333333	-2.049	-1.893	-2.79783333333333	-1.56066666666667	-3.1725	-2.0775	-1.884	-2.73033333333333	-4.703	-1.75016666666667	-1.78766666666667	-2.44433333333333	-3.84616666666667	-2.52483333333333	-1.975	-2.53566666666667	-2.64383333333333	-2.11533333333333	-2.23516666666667	-2.28333333333333	-2.53983333333333	-2.70833333333333	-2.1555	-2.77533333333333	-2.78966666666667	-3.111	-4.08816666666667	-0.583333333333333	-1.212	-2.02066666666667	-1.8325	-1.303	-2.71733333333333	-1.8335	-1.21433333333333	-1.0585	-2.20216666666667	-1.6115	-1.912	-1.28533333333333	-0.855	-0.968333333333333	-1.4285	-0.402166666666667	-1.1665	-2.28916666666667	-2.468	-3.03766666666667	-1.20316666666667	-1.83983333333333
CDCA7	-2.2405	-2.214	-3.6025	-2.3715	-3.85575	-2.8055	-1.1505	-4.550125	-3.719125	-3.495625	-3.7215	-1.378625	-1.120375	0.2305	-2.927	-2.39675	-2.48175	-0.66775	-1.288875	-2.687875	-1.59625	-0.12175	-1.5065	-0.712125	-0.95575	-1.91625	-0.9565	-1.034	-4.712	-4.40925	-4.47575	-5.563	-3.86175	-4.734375	-4.324625	-3.202125	-4.567125	-5.101875	-4.92025	-4.702875	-5.344625	-4.1525	-4.281625	-3.653125	-4.947625	-5.1085	-3.991125	-4.091125	-3.618125	-3.568125	-3.67	-4.664875	-5.5945	-2.66975	-3.883625	-1.542875	-4.61	-4.018875	-5.099875	-4.84925	-2.842125	-5.634875	-4.625625	-4.069375	-4.534625	-4.32175	-4.312	-4.121	-4.38175	-4.7105	-4.0325	-3.209	-4.457	-2.866875	-4.74775	-3.1565	-3.771375	-2.5	-5.459	-2.596625	-4.821875	-3.5625	-5.373875	-3.373875	-4.719375	-4.8105	-3.324125	-4.83625	-2.59275	-4.95825	-4.129375	-4.934125	-2.813375	-3.187875
CDCA8	-0.944333333333333	-1.05383333333333	-2.07366666666667	-1.10633333333333	-1.27283333333333	-1.95933333333333	-0.836833333333333	-1.69816666666667	-1.55716666666667	-1.127	-0.840833333333333	-0.476833333333333	0.798333333333333	-0.108	-1.22583333333333	-1.07533333333333	-0.317333333333333	-1.03683333333333	-0.866	-0.320333333333333	-0.726333333333333	0.1615	-0.5835	-0.614666666666667	-0.472166666666667	-1.65233333333333	1.05516666666667	0.3445	-2.9295	-2.4835	-2.741	-2.51466666666667	-2.1935	-2.40683333333333	-2.15166666666667	-1.95033333333333	-3.39033333333333	-1.7755	-1.79816666666667	-2.72316666666667	-2.68233333333333	-2.522	-2.29916666666667	-2.76516666666667	-1.974	-1.65366666666667	-2.51433333333333	-0.786833333333333	-2.952	-2.16483333333333	-2.01033333333333	-2.25583333333333	-3.801	-2.39133333333333	-1.29166666666667	-2.0505	-3.32383333333333	-3.12833333333333	-1.80916666666667	-2.31066666666667	-2.32516666666667	-2.14	-2.09833333333333	-3.32433333333333	-2.2015	-2.21416666666667	-2.434	-2.473	-2.52266666666667	-3.23766666666667	-3.57833333333333	-1.413	-1.74383333333333	-1.07816666666667	-1.19216666666667	-1.121	-2.0755	-1.731	-0.981333333333333	-1.23033333333333	-1.56166666666667	-1.92433333333333	-2.42916666666667	-1.22566666666667	-0.598333333333333	-1.275	-1.605	-1.22516666666667	-1.03833333333333	-1.36866666666667	-2.06883333333333	-2.5785	-1.394	-2.142
CDH11	3.2985	3.6645	3.44866666666667	3.56833333333333	2.51433333333333	4.62033333333333	0.186666666666667	3.887	3.69666666666667	3.54516666666667	2.86683333333333	2.6475	1.09616666666667	0.483333333333333	1.90933333333333	2.73316666666667	2.28383333333333	1.81583333333333	1.041	0.4755	2.932	2.593	2.54416666666667	1.82883333333333	1.50983333333333	1.77333333333333	3.02033333333333	1.552	1.80166666666667	3.198	4.96183333333333	3.46483333333333	2.44016666666667	1.731	3.08516666666667	4.084	2.9995	1.95433333333333	3.823	3.71283333333333	2.71066666666667	3.2075	2.88183333333333	4.452	3.66033333333333	2.366	2.14083333333333	2.85566666666667	3.531	2.1845	3.37266666666667	1.64916666666667	3.7985	3.1115	1.84416666666667	3.2745	3.32383333333333	1.77683333333333	3.74333333333333	3.55733333333333	3.829	2.114	2.755	2.345	3.64383333333333	2.73233333333333	1.72383333333333	4.4625	3.37333333333333	1.98516666666667	2.38716666666667	2.77016666666667	2.14766666666667	2.84766666666667	2.62966666666667	0.4505	-2.63083333333333	3.199	2.29733333333333	2.0295	1.75116666666667	3.59566666666667	3.67816666666667	2.95816666666667	2.44133333333333	2.09083333333333	3.77783333333333	3.38266666666667	3.47916666666667	2.75783333333333	4.548	1.3795	3.0915	3.712
CDH18	-3.075	-5.294	-3.16225	-4.12775	-5.03925	-4.398	-4.149	-4.31875	-3.66575	-4.79025	0.74975	-5.36825	-5.24075	-3.35125	-4.63175	-4.00575	-1.578	-4.14075	-5.47575	-4.40825	-5.17125	-4.518	-4.64975	-4.6465	-4.41475	-5.3285	-4.84975	-4.987	-4.38925	-4.2805	-4.32	-4.651	-5.0265	-5.079	-4.5315	-4.92	-5.01575	-4.887	2.808	-5.165	0.89725	-4.56175	-4.565	-5.20875	-6.64525	-5.86	-4.5835	-4.20125	-6.2625	-4.87175	-4.06925	-6.1565	-5.42075	-5.3525	-4.85725	-4.89225	-5.01525	-4.77725	-4.22625	-4.72725	-5.1005	-5.24475	-3.657	-4.43925	-5.15325	-4.645	-5.53675	-4.11	-0.412	-5.5	-5.104	-5.6715	-4.363	-5.153	-4.12975	-2.89625	-3.4175	-4.226	-4.823	-5.09175	-3.965	-5.9795	-5.3215	-4.85775	-2.62675	-3.045	-1.5305	-3.6275	-4.52725	-3.95825	-5.018	-5.14425	-4.19575	-5.3285
CDH19	-3.007	-1.95283333333333	-3.0065	-1.97233333333333	-4.1045	-2.37033333333333	-3.83666666666667	-2.42266666666667	-2.2275	-2.3802	-2.88566666666667	-2.86633333333333	-2.55966666666667	-0.1175	3.12783333333333	-1.474	-2.6225	3.88	5.14483333333333	-2.735	-3.09433333333333	2.38333333333333	3.3825	-1.9785	-1.81633333333333	-1.73733333333333	-2.6005	-2.7565	-1.44333333333333	-2.91316666666667	-1.91983333333333	-3.73716666666667	-1.985	-2.202	-1.93716666666667	-1.84166666666667	-1.10366666666667	-3.20916666666667	-1.64533333333333	-1.41533333333333	-3.1308	-2.8225	-1.9305	-2.40816666666667	-0.9308	1.221	-2.2165	-2.792	-3.7918	-2.3644	-0.895166666666667	-2.6734	-1.3348	-2.681	-1.52083333333333	-1.87366666666667	-2.48416666666667	-2.0542	-3.184	-0.788833333333333	-1.811	-2.3095	-0.841666666666667	-1.76083333333333	-2.20933333333333	-2.63033333333333	-2.112	-2.43833333333333	-2.979	-2.084	-0.103666666666667	-2.91883333333333	-2.73683333333333	-2.5312	-3.05216666666667	-3.87933333333333	-3.35083333333333	-1.7022	-0.264333333333333	-2.90633333333333	-2.55916666666667	-2.899	-1.64233333333333	-3.14316666666667	-1.3955	-1.98716666666667	1.7645	-2.37016666666667	-2.65316666666667	-2.1895	-2.74266666666667	-1.8552	-2.4995	-2.16116666666667
CDH2	-2.66475	-2.577	-2.58675	-2.49875	-4.59525	-2.18675	-4.938	-1.127	-3.2095	-0.478	-3.36025	-3.85525	-4.64275	1.74975	-4.15875	-1.584	-3.3205	-3.96925	-3.29875	-4.61325	-3.09725	-3.74875	-3.26275	-4.50075	-3.12725	-3.6835	-3.24225	-1.91125	-2.7345	-3.59625	-1.45475	-2.73925	-4.75675	-2.988	-3.668	-2.12975	-5.28075	-4.216	-2.165	-3.808	-3.8815	-3.47725	-3.295	-2.29375	-3.13475	-4.55725	-3.88675	-3.27675	-3.20975	-3.86225	-3.1025	-3.65675	-3.3095	-4	-3.99125	-3.699	-3.30325	-4.29575	-1.66125	-3.87725	-3.034	-3.47175	-4.01425	-3.648	-2.66325	-3.68425	-3.4695	-2.8625	-4.32825	-4.5305	-5.1155	-3.3865	-4.08025	-3.0495	-3.547	-5.01925	-5.21175	-3.46125	-3.21575	-4.63	-3.23675	-3.1315	-2.3665	-2.72575	-4.183	-4.961	-3.63975	-2.16625	-3.519	-0.843	-2.67475	-3.616	-2.02525	-2.982
CDH7	-1.47575	-1.194	2.84675	-0.68225	-1.45125	-0.091	0.01475	-0.883	-1.0255	-1.608	-0.94425	-1.223	-0.8505	-0.383	-1.012	-0.77525	-2.216	-1.31375	-1.90875	-1.547	-1.702	-1.30025	-0.67525	-0.5795	-0.98275	-1.82875	-1.83675	-1.3605	-0.52125	2.4465	-0.642	-2.396	-1.71875	-0.24925	-0.398	-1.41825	0.009	-0.374	-0.637	0.975	-1.70575	-2.738	-1.83325	-1.3495	-1.357	-1.2735	1.24625	-1.5865	-1.64675	-1.53825	-0.3655	-2.08	-0.0325	-1.75875	-2.02675	-1.7785	1.97925	-0.42275	-1.2005	-1.91675	-1.42375	-1.13325	0.831	-1.3265	-1.33375	-0.7765	-1.22025	-1.3455	0.118	-2.02275	-1.2255	-0.00225	-1.186	-1.91825	-0.7485	-0.34725	-1.2165	-1.6255	-1.64625	-1.93775	-1.69575	-1.4315	3.92825	1.13275	3.26775	0.25	0.313	1.308	-1.71275	1.17575	-1.089	0.96475	-0.771	-1.057
CDKN1C	-1.49866666666667	-1.21233333333333	-0.226	-0.917583333333333	-1.65608333333333	-0.737666666666667	-0.334166666666667	-0.587166666666667	-0.858166666666667	-1.75283333333333	-1.7365	-0.905333333333333	1.16508333333333	0.5985	0.418333333333333	-0.754833333333333	1.16916666666667	0.241583333333333	-0.56475	1.0225	1.8025	-0.991833333333333	-0.979833333333333	-0.176583333333333	0.834833333333333	0.151416666666667	0.306416666666667	-0.795166666666666	-0.116	0.00291666666666666	-0.00408333333333333	-0.0215	0.689166666666667	-1.17541666666667	-1.16425	-0.511083333333333	-0.505666666666667	-1.66233333333333	-0.404666666666667	0.0585	-0.292833333333333	0.274	-1.1555	-0.435666666666667	-0.54975	-0.62925	-0.015	-0.410333333333333	-0.2935	-0.667833333333333	-0.0500833333333333	-1.62691666666667	0.77825	-1.47616666666667	1.08916666666667	-1.52383333333333	0.112333333333333	0.38375	0.371416666666667	0.41925	0.0541666666666667	-1.68366666666667	0.468583333333333	-0.807166666666667	-0.207833333333333	-0.70525	-0.116666666666667	-0.857083333333333	0.302166666666667	-1.05591666666667	1.027	-2.12975	-1.14383333333333	-1.46166666666667	-0.437166666666667	-1.55116666666667	-0.483416666666667	-0.800083333333333	-0.0755	-0.2015	-0.886833333333333	-1.23191666666667	-0.786583333333333	-2.57883333333333	-1.29533333333333	-1.28983333333333	-0.436583333333333	-1.26475	0.180583333333333	-1.24691666666667	-0.9985	-0.09575	-0.993833333333333	-0.160916666666667
CDKN2A	1.36725	-1.816	-0.640833333333333	-2.52833333333333	-2.06175	0.756666666666666	2.657	0.168416666666667	-1.7695	-2.01108333333333	-0.810333333333333	1.92116666666667	1.56725	2.53991666666667	-0.712833333333333	1.50358333333333	0.611833333333333	2.14958333333333	2.51558333333333	0.688166666666667	2.649	-3.73941666666667	-2.58491666666667	2.04833333333333	2.83191666666667	1.72475	2.606	2.14025	-0.303166666666667	-1.45533333333333	0.693	-1.45891666666667	-0.84075	-1.07525	-0.69125	-1.30683333333333	-0.78975	-2.49808333333333	-1.29616666666667	-0.398416666666667	-1.7485	-1.33366666666667	-1.17508333333333	-0.926833333333333	-0.799833333333334	-2.471	-1.473	0.15125	-1.40608333333333	-1.50908333333333	-1.48408333333333	-3.18283333333333	-1.37516666666667	-2.39	-2.57408333333333	-1.52958333333333	-1.16416666666667	-1.54291666666667	-0.15625	-1.80558333333333	-1.04183333333333	-2.08433333333333	-2.16033333333333	-1.25766666666667	-1.26	-1.19616666666667	-2.37925	-1.67466666666667	-1.17575	-2.646	-2.66925	-2.60125	-0.777333333333333	-1.23141666666667	-0.490916666666667	-2.0085	-1.97775	-2.16833333333333	-0.161083333333333	-1.49983333333333	-0.370416666666667	-2.10025	-0.579583333333333	-1.66616666666667	-2.59825	-2.04933333333333	-1.69525	-1.00666666666667	-1.3545	-0.720666666666667	-0.716083333333333	-2.2495	0.931166666666667	-2.15066666666667
CDKN3	-0.0601666666666667	-0.689666666666667	0.00900000000000001	-0.788166666666667	-0.843333333333333	-1.66516666666667	-0.0463333333333333	-1.34766666666667	-1.41416666666667	-1.23583333333333	-0.601833333333333	-0.814166666666667	-0.764666666666667	-1.12616666666667	-1.361	-1.955	-0.510333333333333	0.916333333333334	-1.73883333333333	-1.49216666666667	-1.35183333333333	-1.13716666666667	-0.892666666666667	-0.839333333333333	-0.245	-1.97066666666667	-0.937833333333333	-0.995666666666667	-2.86866666666667	-3.0975	-2.67233333333333	-3.01516666666667	-1.25866666666667	-2.5355	-1.861	-2.49416666666667	-3.68183333333333	-2.16966666666667	-1.0625	-2.65466666666667	-2.49883333333333	-2.46633333333333	-2.11433333333333	-2.32033333333333	-2.17283333333333	-1.66066666666667	-2.50216666666667	-2.39783333333333	-2.4385	-1.935	-2.08616666666667	-2.1485	-4.41933333333333	-2.22033333333333	-1.9195	-1.76483333333333	-4.298	-3.20333333333333	-1.57016666666667	-2.32066666666667	-2.15533333333333	-2.04783333333333	-1.961	-1.9555	-2.432	-2.88283333333333	-2.12883333333333	-2.05583333333333	-1.80133333333333	-2.743	-3.9205	-0.468166666666667	-1.41833333333333	-0.949833333333333	-1.24833333333333	-0.6305	-2.2675	-2.217	-1.49666666666667	-1.01083333333333	-1.34516666666667	-2.2295	-2.4475	-0.531	-0.343	-1.3625	-0.8795	0.0516666666666667	-1.26383333333333	-1.47316666666667	-1.22316666666667	-1.83283333333333	-0.497666666666667	-1.56616666666667
CDO1	-0.696666666666667	-0.0435	-0.956	-0.521333333333333	0.5525	0.223	-2.306	0.790666666666667	0.321166666666667	-0.244	-1.31016666666667	-1.47383333333333	-1.04433333333333	1.38516666666667	-3.017	-0.8105	1.24983333333333	0.797666666666667	-3.32683333333333	-2.37333333333333	0.629	0.219333333333333	3.32066666666667	1.05333333333333	-0.9345	-0.570833333333333	0.4105	-1.41416666666667	0.473	0.9345	1.02833333333333	0.173666666666667	1.12683333333333	-1.2755	-0.433	0.289	0.846	-1.756	-0.0595	1.19966666666667	-1.11616666666667	1.50666666666667	-0.482833333333333	1.59216666666667	0.547666666666667	0.713333333333333	1.66466666666667	0.348666666666667	0.491	-0.088	0.067	-1.41316666666667	3.0945	-0.159	-1.548	2.52483333333333	3.36116666666667	1.86416666666667	0.244666666666667	1.48983333333333	3.31016666666667	-2.17016666666667	0.683666666666667	0.904833333333333	-0.355333333333333	0.505833333333333	1.75483333333333	2.926	0.043	-1.08266666666667	3.1505	-1.36183333333333	-0.981166666666667	-2.22083333333333	-0.137833333333333	-0.8945	-3.88683333333333	0.601333333333333	0.247333333333333	-0.8045	-1.08983333333333	0.132666666666667	-0.8505	-0.644833333333333	-0.41	-0.233666666666667	1.12116666666667	-0.372333333333333	3.00733333333333	0.81	-0.349833333333333	-1.98483333333333	4.35083333333333	-0.338666666666667
